Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0,0.2571,56,0,0.1876,703.75,9,0,2,0,2.0
1,0,0.5608,69,0,1.4872,3544.47,14,0,0,1,4.0
2,0,0.5345,46,0,0.2519,1715.5,15,0,2,0,0.0
3,0,0.1622,32,0,0.6781,1673.17,3,0,0,0,0.0
4,0,0.4668,60,1,0.0391,3646.95,10,0,1,0,1.0
5,0,0.1698,25,1,0.184,2005.93,8,0,2,0,1.0
6,0,0.2893,78,1,1.1799,6209.13,14,0,0,0,0.0
7,1,0.5649,38,2,0.3777,,8,0,0,0,1.0
8,0,0.0978,56,2,0.8385,4003.9,13,0,1,0,0.0
9,0,0.2326,75,3,0.2645,,4,0,1,0,0.0
10,0,0.3316,36,0,0.2341,3609.69,5,0,0,0,0.0
11,0,0.2942,40,0,0.0688,3516.14,7,0,1,0,1.0
12,0,0.4005,28,1,0.2009,3341.7,8,0,3,0,0.0
13,0,0.4597,28,1,0.4155,,7,0,0,0,0.0
14,0,0.2575,41,0,0.3631,5463.36,7,0,0,0,0.0
15,0,0.2489,70,0,0.2201,1865.94,6,0,0,0,0.0
16,0,0.5677,53,0,0.1633,1389.98,5,0,0,1,1.0
17,0,0.3162,57,0,0.5021,1735.91,6,0,0,0,0.0
18,0,0.1751,41,0,0.1758,4082.9,10,1,0,0,1.0
19,1,0.3653,20,0,0.0986,1396.92,7,0,1,0,0.0
20,0,0.1287,39,0,0.0324,1916.27,8,0,2,0,1.0
21,0,0.2597,70,0,0.0924,1182.02,14,0,0,1,1.0
22,0,0.0723,19,0,0.1494,5809.22,8,1,0,1,1.0
23,0,0.5114,41,1,0.0852,4813.0,8,0,1,0,3.0
24,0,0.2345,61,1,0.8714,5597.96,7,1,0,0,0.0
25,0,0.3997,47,1,0.2115,2170.55,9,0,3,0,2.0
26,0,0.084,55,0,0.6371,883.56,14,0,1,0,1.0
27,0,0.2607,19,0,0.0205,1686.98,7,0,2,0,0.0
28,0,0.3306,77,0,0.7564,1178.52,10,0,6,0,0.0
29,0,0.1035,38,0,1.0211,1169.87,5,0,0,0,1.0
30,0,0.3895,50,0,0.0781,6707.3,6,0,1,1,0.0
31,0,0.2525,29,0,0.0692,2546.0,11,2,1,0,2.0
32,0,0.3689,75,0,0.8246,3705.73,10,0,1,1,0.0
33,0,0.3563,39,0,0.1454,,11,0,2,1,0.0
34,0,0.407,78,0,0.1474,1482.4,10,1,0,0,0.0
35,0,0.1271,61,1,0.2303,4652.06,3,0,3,0,
